,Facility_City,Facility_State,Procedure_Heart_Attack_Cost,Procedure_Heart_Failure_Cost,Rating_Overall,Procedure_Pneumonia_Quality,Procedure_Pneumonia_Cost,Rating_Mortality,Rating_Safety,Rating_Readmission,Rating_Experience,Rating_Effectiveness,Rating_Timeliness,Procedure_Pneumonia_Value,Procedure_Heart_Failure_Value
2711,Post Falls,ID,0.0,0.0,5.0,-1.0,0.0,-1.0,-1.0,2.0,2.0,1.0,-1.0,-1.0,-1.0
2712,Poteau,OK,0.0,15610.0,3.0,-1.0,0.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,-1.0,2.0
2713,Potosi,MO,0.0,16112.0,2.0,2.0,17839.0,1.0,-1.0,0.0,-1.0,1.0,1.0,2.0,2.0
2714,Potsdam,NY,21729.0,14131.0,3.0,2.0,14032.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0
2715,Pottstown,PA,24811.0,19818.0,1.0,2.0,19705.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0
2716,Pottsville,PA,23152.0,15883.0,3.0,2.0,16218.0,1.0,1.0,1.0,-1.0,1.0,1.0,2.0,2.0
2717,Poughkeepsie,NY,23453.0,16495.0,1.0,2.0,17754.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0
2718,Poway,CA,23477.0,18296.0,4.0,2.0,19270.0,1.0,2.0,2.0,1.0,1.0,0.0,3.0,3.0
2719,Powell,WY,0.0,14453.0,4.0,2.0,16524.0,1.0,-1.0,2.0,-1.0,1.0,2.0,2.0,2.0
2720,Prague,OK,0.0,0.0,-1.0,2.0,15207.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0
2721,Prairie Du Chien,WI,0.0,17155.0,4.0,2.0,17895.0,1.0,-1.0,1.0,2.0,1.0,2.0,2.0,2.0
2722,Prairie Du Sac,WI,0.0,15765.0,5.0,2.0,15798.0,-1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
2723,Pratt,KS,0.0,17306.0,4.0,2.0,16163.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0
2724,Prattville,AL,26147.0,16251.0,3.0,2.0,16593.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0
2725,Prentiss,MS,0.0,0.0,-1.0,2.0,16953.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0
2726,Prescott,AZ,23918.0,16156.0,3.0,2.0,16965.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0
2727,Presque Isle,ME,19627.0,14850.0,2.0,2.0,15045.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2728,Preston,ID,0.0,14759.0,-1.0,2.0,13887.0,-1.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0
2729,Prestonsburg,KY,23145.0,16123.0,1.0,2.0,15705.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
